2025-12-14 21:10:07 | INFO     | setup_logging        | Logging initialized. Log file: /Users/jonc/code/prune-github-repo-for-ai-context-engineering/logs/log_20251214_211007.txt
2025-12-14 21:10:07 | INFO     | main                 | Loading configuration from: /Users/jonc/code/prune-github-repo-for-ai-context-engineering/config.yaml
2025-12-14 21:10:07 | INFO     | main                 | Configuration loaded successfully (AI Coding Env: chat)
2025-12-14 21:10:07 | INFO     | distill              | Starting distillation...
2025-12-14 21:10:07 | INFO     | distill              | Source: /Users/jonc/code/iphs391-mp2-ai-emotional-theory-of-minds
2025-12-14 21:10:07 | INFO     | distill              | Destination: /Users/jonc/code/iphs391-mp2-ai-emotional-theory-of-minds-distilled
2025-12-14 21:10:07 | INFO     | distill              | Configuration: AI Coding Env = chat
2025-12-14 21:10:13 | INFO     | _sample_json_file    | SAMPLED[JSON]: proj28export.json (60 items)
2025-12-14 21:10:13 | INFO     | _sample_json_file    | SAMPLED[JSON - copied intact]: gpt-5-mini_20251124_004757.json (9 items)
2025-12-14 21:10:13 | INFO     | _sample_json_file    | SAMPLED[JSON - copied intact]: gpt-5-mini_20251124_002424.json (5 items)
2025-12-14 21:10:13 | INFO     | _sample_json_file    | SAMPLED[JSON - copied intact]: gpt-5-mini_20251124_012814.json (9 items)
2025-12-14 21:10:13 | INFO     | _sample_csv_file     | SAMPLED[CSV]: per_annotator.csv (16 rows)
2025-12-14 21:10:13 | INFO     | _sample_csv_file     | SAMPLED[CSV]: metrics.csv (2 rows)
2025-12-14 21:10:13 | INFO     | _sample_csv_file     | SAMPLED[CSV]: triage.csv (51 rows)
2025-12-14 21:10:13 | INFO     | _sample_csv_file     | SAMPLED[CSV]: per_item.csv (301 rows)
2025-12-14 21:10:13 | INFO     | _sample_csv_file     | SAMPLED[CSV]: per_batch.csv (17 rows)
2025-12-14 21:10:13 | INFO     | _sample_csv_file     | SAMPLED[CSV]: triage_with_sources.csv (361 rows)
2025-12-14 21:10:13 | INFO     | _sample_csv_file     | SAMPLED[CSV]: adjudication_audit_log.csv (12 rows)
2025-12-14 21:10:13 | INFO     | _sample_csv_file     | SAMPLED[CSV]: per_annotator.csv (16 rows)
2025-12-14 21:10:13 | INFO     | _sample_csv_file     | SAMPLED[CSV]: metrics.csv (2 rows)
2025-12-14 21:10:13 | INFO     | _sample_csv_file     | SAMPLED[CSV]: triage.csv (121 rows)
2025-12-14 21:10:13 | INFO     | _sample_csv_file     | SAMPLED[CSV]: per_item.csv (301 rows)
2025-12-14 21:10:13 | INFO     | _sample_csv_file     | SAMPLED[CSV]: per_batch.csv (16 rows)
2025-12-14 21:10:13 | INFO     | _sample_csv_file     | SAMPLED[CSV]: per_annotator.csv (16 rows)
2025-12-14 21:10:13 | INFO     | _sample_csv_file     | SAMPLED[CSV]: metrics.csv (2 rows)
2025-12-14 21:10:13 | INFO     | _sample_csv_file     | SAMPLED[CSV]: triage.csv (51 rows)
2025-12-14 21:10:13 | INFO     | _sample_csv_file     | SAMPLED[CSV]: per_item.csv (301 rows)
2025-12-14 21:10:13 | INFO     | _sample_csv_file     | SAMPLED[CSV]: per_batch.csv (17 rows)
2025-12-14 21:10:13 | INFO     | _sample_csv_file     | SAMPLED[CSV]: triage_with_sources.csv (7 rows)
2025-12-14 21:10:13 | INFO     | _sample_csv_file     | SAMPLED[CSV]: per_annotator.csv (4 rows)
2025-12-14 21:10:13 | INFO     | _sample_csv_file     | SAMPLED[CSV]: metrics.csv (2 rows)
2025-12-14 21:10:13 | INFO     | _sample_csv_file     | SAMPLED[CSV]: triage.csv (3 rows)
2025-12-14 21:10:13 | INFO     | _sample_csv_file     | SAMPLED[CSV]: per_item.csv (3 rows)
2025-12-14 21:10:13 | INFO     | _sample_csv_file     | SAMPLED[CSV]: per_batch.csv (4 rows)
2025-12-14 21:10:13 | INFO     | _sample_csv_file     | SAMPLED[CSV]: examples_mixed_signals-GOLD-AI_unlabeled_20251203-jonc.csv (61 rows)
2025-12-14 21:10:13 | INFO     | _sample_csv_file     | SAMPLED[CSV]: examples_sarcasm_irony-GOLD-AI_unlabeled copy.csv (61 rows)
2025-12-14 21:10:13 | INFO     | _sample_csv_file     | SAMPLED[CSV]: table_annotators-id.csv (16 rows)
2025-12-14 21:10:13 | INFO     | _sample_json_file    | SAMPLED[JSONL]: examples_strategic_politeness-GOLD-AI_unlabeled.jsonl (60 objects)
2025-12-14 21:10:13 | INFO     | _sample_json_file    | SAMPLED[JSONL]: examples_passive_aggression-GOLD-AI_unlabeled.jsonl (60 objects)
